date,fighter,kd,sig_strike_landed,sig_strike_attempts,sig_strike_percent,strike_landed,strike_attempts,td_landed,td_attempts,td_percent,sub_attempts,pass,rev,kds_received,sig_strikes_received,strikes_received,tds_received,method,round_finished,time,rounds,res,weight_class,fight_pk,sig_strikes_avoided,tds_defended,strikes_avoided,strike_percent,sig_reg_mixture,sig_reg_percent
2022-06-04,Alexander Volkov,0,21,37,0.5675675675675675,21,37,0,0,0,0,0,NA,0,6,6,0,KO/TKO,1,02:12:00,5,W,Men_Heavyweight,6625,12,0,12,0.5675675675675675,1,0.5675675675675675
2022-06-04,Jairzinho Rozenstruik,0,6,18,0.3333333333333333,6,18,0,0,0,0,0,NA,0,21,21,0,KO/TKO,1,02:12:00,5,L,Men_Heavyweight,6625,16,0,16,0.3333333333333333,1,0.3333333333333333
2022-06-04,Dan Ige,0,42,106,0.39622641509433965,47,114,0,0,0,0,0,NA,0,68,144,9,Decision,3,05:00:00,3,L,Men_Featherweight,6624,61,7,69,0.41228070175438597,0.9298245614035088,0.40454545454545454
2022-06-04,Movsar Evloev,0,68,129,0.5271317829457365,144,213,9,16,0.5625,0,0,NA,0,42,47,0,Decision,3,05:00:00,3,W,Men_Featherweight,6624,64,0,67,0.676056338028169,0.6056338028169014,0.6198830409356725
2022-06-04,Michael Trizano,1,31,62,0.5,42,74,0,0,0,0,0,NA,2,75,94,0,KO/TKO,3,00:55:00,3,L,Men_Featherweight,6623,77,0,77,0.5675675675675675,0.8378378378378378,0.5367647058823529
2022-06-04,Lucas Almeida,2,75,152,0.4934210526315789,94,171,0,0,0,0,0,NA,1,31,42,0,KO/TKO,3,00:55:00,3,W,Men_Featherweight,6623,31,0,32,0.5497076023391813,0.8888888888888888,0.5232198142414861
2022-06-04,Karine Silva,0,17,68,0.25,23,75,1,1,1,1,0,NA,0,19,19,0,Submission,1,04:55:00,3,W,Women_Flyweight,6622,7,0,7,0.30666666666666664,0.9066666666666666,0.27972027972027974
2022-06-04,Poliana Botelho,0,19,26,0.7307692307692307,19,26,0,0,0,0,0,NA,0,17,23,1,Submission,1,04:55:00,3,L,Women_Flyweight,6622,51,0,52,0.7307692307692307,1,0.7307692307692307
2022-06-04,Ode Osbourne,1,7,15,0.4666666666666667,7,15,0,0,0,0,0,NA,0,7,7,0,KO/TKO,1,01:01:00,3,W,Men_Flyweight,6621,6,0,6,0.4666666666666667,1,0.4666666666666667
2022-06-04,Zarrukh Adashev,0,7,13,0.5384615384615384,7,13,0,0,0,0,0,NA,1,7,7,0,KO/TKO,1,01:01:00,3,L,Men_Flyweight,6621,8,0,8,0.5384615384615384,1,0.5384615384615384
2022-06-04,Alonzo Menifield,0,19,22,0.8636363636363636,55,59,2,3,0.6666666666666666,0,0,NA,0,2,11,0,KO/TKO,1,04:40:00,3,W,Men_Heavyweight,6620,9,0,9,0.9322033898305084,0.3728813559322034,0.9135802469135802
2022-06-04,Askar Mozharov,0,2,11,0.18181818181818182,11,20,0,0,0,0,0,NA,0,19,55,2,KO/TKO,1,04:40:00,3,L,Men_Heavyweight,6620,3,1,4,0.55,0.55,0.41935483870967744
2022-06-04,Felice Herrig,0,55,122,0.45081967213114754,59,126,0,2,0,0,0,NA,0,82,102,0,Submission,2,04:01:00,3,L,Women_Strawweight,6619,41,2,44,0.46825396825396826,0.9682539682539683,0.4596774193548387
2022-06-04,Karolina Kowalkiewicz,0,82,123,0.6666666666666666,102,146,0,2,0,2,0,NA,0,55,59,0,Submission,2,04:01:00,3,W,Women_Strawweight,6619,67,2,67,0.6986301369863014,0.8424657534246576,0.6840148698884758
2022-06-04,Joe Solecki,0,33,82,0.4024390243902439,91,144,1,4,0.25,3,0,NA,1,35,54,0,Decision,3,05:00:00,3,W,Men_Lightweight,6618,41,0,42,0.6319444444444444,0.5694444444444444,0.5486725663716814
2022-06-04,Alex Da Silva,1,35,76,0.4605263157894737,54,96,0,0,0,0,0,NA,0,33,91,1,Decision,3,05:00:00,3,L,Men_Lightweight,6618,49,3,53,0.5625,0.7916666666666666,0.5174418604651163
2022-06-04,Damon Jackson,0,32,53,0.6037735849056604,47,71,2,4,0.5,1,1,NA,0,27,103,1,Decision,3,05:00:00,3,W,Men_Featherweight,6617,32,2,38,0.6619718309859155,0.7464788732394366,0.6370967741935484
2022-06-04,Dan Argueta,0,27,59,0.4576271186440678,103,141,1,3,0.3333333333333333,0,1,NA,0,32,47,2,Decision,3,05:00:00,3,L,Men_Featherweight,6617,21,2,24,0.7304964539007093,0.41843971631205673,0.65
2022-06-04,Niklas Stolze,0,11,14,0.7857142857142857,20,23,0,0,0,1,0,NA,0,8,41,3,Submission,2,01:32:00,3,L,Men_Lightweight,6616,2,2,7,0.8695652173913043,0.6086956521739131,0.8378378378378378
2022-06-04,Benoit Saint Denis,0,8,10,0.8,41,48,3,5,0.6,2,0,NA,0,11,20,0,Submission,2,01:32:00,3,W,Men_Lightweight,6616,3,0,3,0.8541666666666666,0.20833333333333334,0.8448275862068966
2022-06-04,Johnny Munoz,0,2,7,0.2857142857142857,2,7,0,1,0,0,0,NA,1,5,6,0,KO/TKO,1,01:08:00,3,L,Men_Bantamweight,6615,10,0,10,0.2857142857142857,1,0.2857142857142857
2022-06-04,Tony Gravely,1,5,15,0.3333333333333333,6,16,0,0,0,0,0,NA,0,2,2,0,KO/TKO,1,01:08:00,3,W,Men_Bantamweight,6615,5,1,5,0.375,0.9375,0.3548387096774194
2022-06-04,Jeff Molina,0,56,148,0.3783783783783784,129,226,0,0,0,0,0,NA,0,37,68,2,Decision,3,05:00:00,3,W,Men_Flyweight,6614,75,11,78,0.5707964601769911,0.6548672566371682,0.4946524064171123
2022-06-04,Zhalgas Zhumagulov,0,37,112,0.33035714285714285,68,146,2,13,0.15384615384615385,0,0,NA,0,56,129,0,Decision,3,05:00:00,3,L,Men_Flyweight,6614,92,0,97,0.4657534246575342,0.7671232876712328,0.4069767441860465
2022-06-04,Rinat Fakhretdinov,0,45,61,0.7377049180327869,106,130,5,10,0.5,0,0,NA,0,18,48,0,Decision,3,05:00:00,3,W,Men_Welterweight,6613,15,2,17,0.8153846153846154,0.46923076923076923,0.7905759162303665
2022-06-04,Andreas Michailidis,0,18,33,0.5454545454545454,48,65,0,2,0,0,1,NA,0,45,106,5,Decision,3,05:00:00,3,L,Men_Welterweight,6613,16,5,24,0.7384615384615385,0.5076923076923077,0.673469387755102
2022-06-04,Erin Blanchfield,0,48,100,0.48,68,121,0,4,0,1,0,NA,0,32,38,2,Submission,2,02:38:00,3,W,Women_Flyweight,6612,39,4,39,0.5619834710743802,0.8264462809917356,0.5248868778280543
2022-06-04,JJ Aldrich,0,32,71,0.4507042253521127,38,77,2,6,0.3333333333333333,0,0,NA,0,48,68,0,Submission,2,02:38:00,3,L,Women_Flyweight,6612,52,4,53,0.4935064935064935,0.922077922077922,0.47297297297297297
2022-05-21,Holly Holm,0,96,157,0.6114649681528662,188,263,0,6,0,0,0,NA,0,85,122,1,Decision,5,05:00:00,5,L,Women_Bantamweight,6611,66,6,68,0.714828897338403,0.596958174904943,0.6761904761904762
2022-05-21,Ketlen Vieira,0,85,151,0.5629139072847682,122,190,1,7,0.14285714285714285,1,0,NA,0,96,188,0,Decision,5,05:00:00,5,W,Women_Bantamweight,6611,61,6,75,0.6421052631578947,0.7947368421052632,0.6070381231671554
2022-05-21,Santiago Ponzinibbio,0,105,220,0.4772727272727273,106,221,1,4,0.25,0,0,NA,0,110,110,0,Decision,3,05:00:00,3,L,Men_Welterweight,6610,106,0,106,0.4796380090497738,0.995475113122172,0.47845804988662133
2022-05-21,Michel Pereira,0,110,216,0.5092592592592593,110,216,0,0,0,0,0,NA,0,105,106,1,Decision,3,05:00:00,3,W,Men_Welterweight,6610,115,3,115,0.5092592592592593,1,0.5092592592592593
2022-05-21,Chidi Njokuani,1,14,17,0.8235294117647058,19,23,0,0,0,1,0,NA,0,5,9,2,KO/TKO,1,04:48:00,3,W,Men_Middleweight,6609,2,5,2,0.8260869565217391,0.7391304347826086,0.825
2022-05-21,Dusko Todorovic,0,5,7,0.7142857142857143,9,11,2,7,0.2857142857142857,0,0,NA,1,14,19,0,KO/TKO,1,04:48:00,3,L,Men_Middleweight,6609,3,0,4,0.8181818181818182,0.6363636363636364,0.7777777777777778
2022-05-21,Polyana Viana,0,36,97,0.3711340206185567,126,212,0,0,0,0,0,NA,0,33,72,5,Decision,3,05:00:00,3,L,Women_Strawweight,6608,40,5,54,0.5943396226415094,0.45754716981132076,0.5242718446601942
2022-05-21,Tabatha Ricci,0,33,73,0.4520547945205479,72,126,5,10,0.5,0,0,NA,0,36,126,0,Decision,3,05:00:00,3,W,Women_Strawweight,6608,61,0,86,0.5714285714285714,0.5793650793650794,0.5276381909547738
2022-05-21,Eryk Anders,0,65,142,0.45774647887323944,75,155,3,24,0.125,0,0,NA,0,105,108,0,Decision,3,05:00:00,3,L,Men_Middleweight,6607,79,1,79,0.4838709677419355,0.9161290322580645,0.4713804713804714
2022-05-21,Junyong Park,0,105,184,0.5706521739130435,108,187,0,1,0,0,1,NA,0,65,75,3,Decision,3,05:00:00,3,W,Men_Middleweight,6607,77,21,80,0.5775401069518716,0.983957219251337,0.5741239892183289
2022-05-21,Joseph Holmes,1,16,23,0.6956521739130435,16,23,1,1,1,1,0,NA,0,1,1,0,Submission,1,01:04:00,3,W,Men_Middleweight,6606,7,0,7,0.6956521739130435,1,0.6956521739130435
2022-05-21,Alen Amedovski,0,1,8,0.125,1,8,0,0,0,0,0,NA,1,16,16,1,Submission,1,01:04:00,3,L,Men_Middleweight,6606,7,0,7,0.125,1,0.125
2022-05-21,Jailton Almeida,0,18,34,0.5294117647058824,36,58,1,2,0.5,1,0,NA,0,0,0,0,Submission,1,04:35:00,3,W,Men_Heavyweight,6605,0,0,0,0.6206896551724138,0.5862068965517241,0.5869565217391305
2022-05-21,Parker Porter,0,0,0,0,0,0,0,0,0,0,0,NA,0,18,36,1,Submission,1,04:35:00,3,L,Men_Heavyweight,6605,16,1,22,NA,NA,NA
2022-05-21,Omar Morales,0,33,85,0.38823529411764707,33,85,0,0,0,0,0,NA,2,47,47,0,KO/TKO,2,03:05:00,3,L,Men_Lightweight,6604,39,0,39,0.38823529411764707,1,0.38823529411764707
2022-05-21,Uros Medic,2,47,86,0.5465116279069767,47,86,0,0,0,0,0,NA,0,33,33,0,KO/TKO,2,03:05:00,3,W,Men_Lightweight,6604,52,0,52,0.5465116279069767,1,0.5465116279069767
2022-05-21,Jonathan Martinez,0,88,154,0.5714285714285714,88,154,2,2,1,0,0,NA,0,51,62,0,Decision,3,05:00:00,3,W,Men_Bantamweight,6603,102,0,102,0.5714285714285714,1,0.5714285714285714
2022-05-21,Vince Morales,0,51,153,0.3333333333333333,62,164,0,0,0,0,1,NA,0,88,88,2,Decision,3,05:00:00,3,L,Men_Bantamweight,6603,66,0,66,0.3780487804878049,0.9329268292682927,0.35646687697160884
2022-05-21,Chase Hooper,0,60,93,0.6451612903225806,140,188,4,7,0.5714285714285714,3,5,NA,0,21,43,2,KO/TKO,3,03:00:00,3,W,Men_Featherweight,6602,2,2,3,0.7446808510638298,0.4946808510638298,0.7117437722419929
2022-05-21,Felipe Colares,0,21,23,0.9130434782608695,43,46,2,4,0.5,0,3,NA,0,60,140,4,KO/TKO,3,03:00:00,3,L,Men_Featherweight,6602,33,3,48,0.9347826086956522,0.5,0.927536231884058
2022-05-21,Elise Reed,0,17,41,0.4146341463414634,70,100,0,0,0,0,0,NA,0,43,130,4,KO/TKO,3,03:52:00,3,L,Women_Strawweight,6601,22,3,31,0.7,0.41,0.6170212765957447
2022-05-21,Sam Hughes,0,43,65,0.6615384615384615,130,161,4,7,0.5714285714285714,0,0,NA,0,17,70,0,KO/TKO,3,03:52:00,3,W,Women_Strawweight,6601,24,0,30,0.8074534161490683,0.40372670807453415,0.7654867256637168
2022-05-14,Jan Blachowicz,0,31,71,0.43661971830985913,53,94,0,0,0,1,0,NA,0,27,61,1,KO/TKO,3,01:11:00,5,W,Men_Heavyweight,6600,58,3,64,0.5638297872340425,0.7553191489361702,0.509090909090909
2022-05-14,Aleksandar Rakic,0,27,85,0.3176470588235294,61,125,1,4,0.25,0,0,NA,0,31,53,0,KO/TKO,3,01:11:00,5,L,Men_Heavyweight,6600,40,0,41,0.488,0.68,0.41904761904761906
2022-05-14,Ryan Spann,0,4,11,0.36363636363636365,5,12,0,0,0,1,0,NA,0,2,2,3,Submission,1,02:22:00,3,W,Men_Heavyweight,6599,7,0,7,0.4166666666666667,0.9166666666666666,0.391304347826087
2022-05-14,Ion Cutelaba,0,2,9,0.2222222222222222,2,9,3,3,1,0,0,NA,0,4,5,0,Submission,1,02:22:00,3,L,Men_Heavyweight,6599,7,0,7,0.2222222222222222,1,0.2222222222222222
2022-05-14,Davey Grant,1,81,197,0.41116751269035534,84,200,0,1,0,0,0,NA,0,71,75,0,KO/TKO,3,00:49:00,3,W,Men_Bantamweight,6598,68,3,70,0.42,0.985,0.4156171284634761
2022-05-14,Louis Smolka,0,71,139,0.5107913669064749,75,145,0,3,0,0,0,NA,1,81,84,0,KO/TKO,3,00:49:00,3,L,Men_Bantamweight,6598,116,1,116,0.5172413793103449,0.9586206896551724,0.5140845070422535
2022-05-14,Katlyn Chookagian,0,63,222,0.28378378378378377,71,230,0,2,0,0,0,NA,0,55,84,3,Decision,3,05:00:00,3,W,Women_Flyweight,6597,114,3,120,0.30869565217391304,0.9652173913043478,0.29646017699115046
2022-05-14,Amanda Ribas,0,55,169,0.3254437869822485,84,204,3,6,0.5,0,0,NA,0,63,71,0,Decision,3,05:00:00,3,L,Women_Flyweight,6597,159,2,159,0.4117647058823529,0.8284313725490197,0.3726541554959786
2022-05-14,Frank Camacho,0,16,31,0.5161290322580645,24,40,0,5,0,0,0,NA,1,34,34,0,KO/TKO,1,03:27:00,3,L,Men_Lightweight,6596,30,1,30,0.6,0.775,0.5633802816901409
