card,Fighter,Opponent
UFC 259: Blachowicz vs. Adesanya,Jan Blachowicz,Israel Adesanya
UFC 259: Blachowicz vs. Adesanya,Amanda Nunes,Megan Anderson
UFC 259: Blachowicz vs. Adesanya,Petr Yan,Aljamain Sterling
UFC 259: Blachowicz vs. Adesanya,Islam Makhachev,Drew Dober
UFC 259: Blachowicz vs. Adesanya,Thiago Santos,Aleksandar Rakic
UFC 259: Blachowicz vs. Adesanya,Dominick Cruz,Casey Kenney
UFC 259: Blachowicz vs. Adesanya,Song Yadong,Kyler Phillips
UFC 259: Blachowicz vs. Adesanya,Joseph Benavidez,Askar Askarov
UFC 259: Blachowicz vs. Adesanya,Rogerio Bontorin,Kai Kara-France
UFC 259: Blachowicz vs. Adesanya,Tim Elliott,Jordan Espinosa
UFC 259: Blachowicz vs. Adesanya,Kennedy Nzechukwu,Carlos Ulberg
UFC 259: Blachowicz vs. Adesanya,Sean Brady,Jake Matthews
UFC 259: Blachowicz vs. Adesanya,Livinha Souza,Amanda Lemos
UFC 259: Blachowicz vs. Adesanya,Uros Medic,Aalon Cruz
UFC 259: Blachowicz vs. Adesanya,Mario Bautista,Trevin Jones
UFC Fight Night: Edwards vs. Muhammad,Leon Edwards,Belal Muhammad
UFC Fight Night: Edwards vs. Muhammad,Misha Cirkunov,Ryan Spann
UFC Fight Night: Edwards vs. Muhammad,Tagir Ulanbekov,Matheus Nicolau Pereira
UFC Fight Night: Edwards vs. Muhammad,Dan Ige,Gavin Tucker
UFC Fight Night: Edwards vs. Muhammad,Ricardo Ramos,Zubaira Tukhugov
UFC Fight Night: Edwards vs. Muhammad,Charles Jourdain,Marcelo Rojo
UFC Fight Night: Edwards vs. Muhammad,Gloria de Paula,Jinh Yu Frey
UFC Fight Night: Brunson vs. Holland,Derek Brunson,Kevin Holland
UFC Fight Night: Brunson vs. Holland,Gregor Gillespie,Brad Riddell
UFC Fight Night: Brunson vs. Holland,Tai Tuivasa,Don'Tale Mayes
UFC Fight Night: Brunson vs. Holland,Song Kenan,Max Griffin
UFC Fight Night: Brunson vs. Holland,Marion Reneau,Macy Chiasson
UFC 260: Miocic vs. Ngannou,Stipe Miocic,Francis Ngannou
UFC 260: Miocic vs. Ngannou,Alexander Volkanovski,Brian Ortega
UFC 260: Miocic vs. Ngannou,Tyron Woodley,Vicente Luque
UFC 260: Miocic vs. Ngannou,Sean O'Malley,Thomas Almeida
UFC 260: Miocic vs. Ngannou,Jamie Mullarkey,Khama Worthy
UFC 260: Miocic vs. Ngannou,Gillian Robertson,Miranda Maverick
UFC 260: Miocic vs. Ngannou,Marc-Andre Barriault,Abu Azaitar
UFC 260: Miocic vs. Ngannou,Shane Young,Omar Morales
UFC Fight Night: Whittaker vs. Costa,Robert Whittaker,Paulo Costa
