Card,fighter_a,fighter_a_odds,fighter_b,fighter_b_odds
Fury FC 55 Dec 19th 2021,Aalon Cruz,-425,Matt Mooney,+275
UFC 259: Blachowicz vs. Adesanya Mar 6th 2021,Aalon Cruz,+140,Uros Medic,-205
Dana White's Contender Series 22 Jul 30th 2019,Aalon Cruz,+140,Steven Nguyen,-189
UFC on ESPN+ 27: Benavidez vs. Figueiredo Feb 29th 2020,Aalon Cruz,-207,Spike Carlyle,+170
Combate 43: Mexicali Sep 20th 2019,Aaron Brink,+550,Oscar Ivan Cota,-1000
UFC Fight Night: Costa vs. Vettori Oct 23rd 2021,Aaron Phillips,+240,Jonathan Martinez,-350
UFC on ESPN 13: Kattar vs. Ige Jul 15th 2020,Aaron Phillips,+600,Jack Shore,-1000
UFC Fight Night 49: Henderson vs. Dos Anjos Aug 23rd 2014,Aaron Phillips,+145,Matt Hobar,-170
UFC 173: Barao vs. Dillashaw May 24th 2014,Aaron Phillips,+130,Sam Sicilia,-150
CFFC 90: Huckbody vs. Phillips Dec 17th 2020,Aaron Phillips,n/a,Collin Huckbody,n/a
UFC on FOX 8: Johnson vs. Moraga Jul 27th 2013,Aaron Riley,+195,Justin Salas,-245
UFC 135: Jones vs. Rampage Sep 24th 2011,Aaron Riley,+310,Tony Ferguson,-340
UFC 114: Jackson vs. Evans May 29th 2010,Aaron Riley,-200,Joe Brammer,+170
UFC 105: Couture vs Vera Nov 14th 2009,Aaron Riley,-172,Ross Pearson,+162
UFC 101: Declaration Aug 8th 2009,Aaron Riley,-155,Shane Nelson,+135
UFC 96: Jackson vs Jardine Mar 7th 2009,Aaron Riley,-265,Shane Nelson,+225
UFC 91: Couture vs Lesnar Nov 15th 2008,Aaron Riley,-105,Jorge Gurgel,-115
Fury FC 56 Feb 6th 2022,Aaron Rosa,+400,Juan Adams,-750
Bellator Fighting Championship 103: Rickels vs. Ambrose Oct 11th 2013,Aaron Rosa,+290,Mikhail Zayats,-365
UFC on FX 2: Alves vs. Kampmann Mar 2nd 2012,Aaron Rosa,+315,James Te Huna,-345
UFC On FOX 1: Velasquez vs. Dos Santos Nov 12th 2011,Aaron Rosa,-120,Matt Lucas,+110
UFC 131: Carwin vs. Dos Santos Jun 11th 2011,Aaron Rosa,-135,Joey Beltran,+115
Titan Fighting Championship 17 Mar 25th 2011,Aaron Rosa,-135,Abe Wagner,+115
